"event_id","event_nm","event_start_dtm","event_end_dtm"
EV-190831,event 20199-08-31,"2019-08-31 08:00:00","2019-08-31 11:30:00"
EV-190901,event 20199-09-01,"2019-09-01 08:00:00","2019-09-01 09:24:00"
EV-190911,event 20199-09-11,"2019-09-11 08:30:00","2019-09-11 10:00:00"
EV-190912,event 20199-09-12,"2019-09-12 08:00:00","2019-09-12 08:14:00"
EV-190913,event 20199-09-13,"2019-09-13 08:00:00","2019-09-13 11:50:00"
EV-190914,event 20199-09-14,"2019-09-14 09:06:00","2019-09-14 10:50:00"
EV-190915,event 20199-09-15,"2019-09-15 08:00:00","2019-09-15 12:25:00"
EV-190916,event 20199-09-16,"2019-09-16 08:26:00","2019-09-16 10:54:00"
EV-190917,event 20199-09-17,"2019-09-17 08:39:00","2019-09-17 10:40:00"
EV-190918,event 20199-09-18,"2019-09-18 08:00:00","2019-09-18 08:00:00"
EV-190919,event 20199-09-19,"2019-09-19 08:09:00","2019-09-19 08:21:00"
EV-190920,event 20199-09-20,"2019-09-20 08:24:00","2019-09-20 08:58:00"
EV-190921,event 20199-09-21,"2019-09-21 08:00:00","2019-09-21 11:30:00"
EV-190922,event 20199-09-22,"2019-09-22 08:14:00","2019-09-22 10:30:00"
EV-190923,event 20199-09-23,"2019-09-23 08:42:00","2019-09-23 10:14:00"
EV-190925,event 20199-09-25,"2019-09-25 08:24:00","2019-09-25 12:00:00"
EV-190926,event 20199-09-26,"2019-09-26 08:39:00","2019-09-26 09:42:00"
EV-190927,event 20199-09-27,"2019-09-27 08:00:00","2019-09-27 08:08:00"
EV-190928,event 20199-09-28,"2019-09-28 08:18:00","2019-09-28 09:09:00"
EV-190929,event 20199-09-29,"2019-09-29 08:00:00","2019-09-29 12:10:00"
EV-190930,event 20199-09-30,"2019-09-30 08:06:00","2019-09-30 11:50:00"
EV-191001,event 20199-10-01,"2019-10-01 08:30:00","2019-10-01 10:00:00"
EV-191002,event 20199-10-02,"2019-10-02 08:00:00","2019-10-02 08:14:00"
EV-191003,event 20199-10-03,"2019-10-03 08:18:00","2019-10-03 11:45:00"
EV-191004,event 20199-10-04,"2019-10-04 09:06:00","2019-10-04 10:50:00"
EV-191005,event 20199-10-05,"2019-10-05 08:00:00","2019-10-05 12:25:00"
EV-191006,event 20199-10-06,"2019-10-06 08:26:00","2019-10-06 10:54:00"
EV-191007,event 20199-10-07,"2019-10-07 08:39:00","2019-10-07 10:40:00"
EV-191009,event 20199-10-09,"2019-10-09 08:09:00","2019-10-09 08:21:00"
EV-191010,event 20199-10-10,"2019-10-10 08:24:00","2019-10-10 08:58:00"
EV-191011,event 20199-10-11,"2019-10-11 08:00:00","2019-10-11 11:30:00"
EV-191012,event 20199-10-12,"2019-10-12 08:14:00","2019-10-12 10:30:00"
EV-191013,event 20199-10-13,"2019-10-13 08:42:00","2019-10-13 10:14:00"
EV-191015,event 20199-10-15,"2019-10-15 08:24:00","2019-10-15 12:00:00"
EV-191016,event 20199-10-16,"2019-10-16 08:39:00","2019-10-16 09:42:00"
EV-191017,event 20199-10-17,"2019-10-17 08:00:00","2019-10-17 08:06:00"
EV-191018,event 20199-10-18,"2019-10-18 08:18:00","2019-10-18 09:09:00"
EV-191019,event 20199-10-19,"2019-10-19 08:00:00","2019-10-19 12:10:00"
EV-191020,event 20199-10-20,"2019-10-20 08:06:00","2019-10-20 11:50:00"
EV-191021,event 20199-10-21,"2019-10-21 08:00:00","2019-10-21 09:24:00"
EV-191031,event 20199-10-31,"2019-10-31 08:30:00","2019-10-31 10:00:00"
EV-191101,event 20199-11-01,"2019-11-01 08:00:00","2019-11-01 11:30:00"
EV-191102,event 20199-11-02,"2019-11-02 08:14:00","2019-11-02 10:30:00"
EV-191103,event 20199-11-03,"2019-11-03 08:38:00","2019-11-03 10:10:00"
EV-191105,event 20199-11-05,"2019-11-05 08:24:00","2019-11-05 12:00:00"
EV-191106,event 20199-11-06,"2019-11-06 08:39:00","2019-11-06 09:42:00"
EV-191107,event 20199-11-07,"2019-11-07 08:00:00","2019-11-07 08:06:00"
EV-191108,event 20199-11-08,"2019-11-08 08:18:00","2019-11-08 09:09:00"
EV-191109,event 20199-11-09,"2019-11-09 08:00:00","2019-11-09 12:10:00"
EV-191110,event 20199-11-10,"2019-11-10 08:06:00","2019-11-10 11:50:00"
EV-191111,event 20199-11-11,"2019-11-11 08:00:00","2019-11-11 09:24:00"
EV-191121,event 20199-11-21,"2019-11-21 08:30:00","2019-11-21 10:00:00"
EV-191122,event 20199-11-22,"2019-11-22 08:00:00","2019-11-22 08:14:00"
EV-191123,event 20199-11-23,"2019-11-23 08:18:00","2019-11-23 11:45:00"
EV-191124,event 20199-11-24,"2019-11-24 09:06:00","2019-11-24 10:50:00"
EV-191125,event 20199-11-25,"2019-11-25 08:00:00","2019-11-25 12:25:00"
EV-191126,event 20199-11-26,"2019-11-26 08:26:00","2019-11-26 10:54:00"
EV-191127,event 20199-11-27,"2019-11-27 08:39:00","2019-11-27 10:40:00"
EV-191129,event 20199-11-29,"2019-11-29 08:09:00","2019-11-29 08:21:00"
EV-191130,event 20199-11-30,"2019-11-30 08:21:00","2019-11-30 08:54:00"
EV-191201,event 20199-12-01,"2019-12-01 08:00:00","2019-12-01 09:24:00"
EV-191211,event 20199-12-11,"2019-12-11 08:00:00","2019-12-11 10:00:00"
EV-191212,event 20199-12-12,"2019-12-12 08:00:00","2019-12-12 08:14:00"
EV-191213,event 20199-12-13,"2019-12-13 08:18:00","2019-12-13 11:45:00"
EV-191214,event 20199-12-14,"2019-12-14 09:06:00","2019-12-14 10:50:00"
EV-191215,event 20199-12-15,"2019-12-15 08:00:00","2019-12-15 12:25:00"
EV-191216,event 20199-12-16,"2019-12-16 08:26:00","2019-12-16 10:54:00"
EV-191217,event 20199-12-17,"2019-12-17 08:12:00","2019-12-17 10:40:00"
EV-191219,event 20199-12-19,"2019-12-19 08:09:00","2019-12-19 08:21:00"
EV-191220,event 20199-12-20,"2019-12-20 08:21:00","2019-12-20 08:54:00"
EV-191221,event 20199-12-21,"2019-12-21 08:00:00","2019-12-21 11:30:00"
EV-191222,event 20199-12-22,"2019-12-22 08:14:00","2019-12-22 10:30:00"
EV-191223,event 20199-12-23,"2019-12-23 08:34:00","2019-12-23 10:10:00"
EV-191225,event 20199-12-25,"2019-12-25 08:24:00","2019-12-25 12:00:00"
EV-191226,event 20199-12-26,"2019-12-26 08:39:00","2019-12-26 09:42:00"
EV-191227,event 20199-12-27,"2019-12-27 08:00:00","2019-12-27 08:30:00"
EV-191228,event 20199-12-28,"2019-12-28 08:18:00","2019-12-28 09:09:00"
EV-191229,event 20199-12-29,"2019-12-29 08:00:00","2019-12-29 12:10:00"
EV-191230,event 20199-12-30,"2019-12-30 08:00:00","2019-12-30 11:50:00"
EV-191231,event 20199-12-31,"2019-12-31 08:00:00","2019-12-31 09:24:00"
EV-200101,event 20200-01-01,"2020-01-01 08:00:00","2020-01-01 11:30:00"
EV-200102,event 20200-01-02,"2020-01-02 08:14:00","2020-01-02 10:30:00"
EV-200103,event 20200-01-03,"2020-01-03 08:38:00","2020-01-03 10:10:00"
EV-200105,event 20200-01-05,"2020-01-05 08:24:00","2020-01-05 12:00:00"
EV-200106,event 20200-01-06,"2020-01-06 08:39:00","2020-01-06 09:42:00"
EV-200107,event 20200-01-07,"2020-01-07 08:00:00","2020-01-07 08:06:00"
EV-200108,event 20200-01-08,"2020-01-08 08:18:00","2020-01-08 09:09:00"
EV-200109,event 20200-01-09,"2020-01-09 08:00:00","2020-01-09 12:10:00"
EV-200110,event 20200-01-10,"2020-01-10 08:06:00","2020-01-10 11:50:00"
EV-200111,event 20200-01-11,"2020-01-11 08:00:00","2020-01-11 09:24:00"
EV-200121,event 20200-01-21,"2020-01-21 08:30:00","2020-01-21 10:00:00"
EV-200122,event 20200-01-22,"2020-01-22 08:00:00","2020-01-22 08:42:00"
EV-200123,event 20200-01-23,"2020-01-23 08:16:00","2020-01-23 11:45:00"
EV-200124,event 20200-01-24,"2020-01-24 08:00:00","2020-01-24 10:50:00"
EV-200125,event 20200-01-25,"2020-01-25 08:00:00","2020-01-25 12:30:00"
EV-200126,event 20200-01-26,"2020-01-26 08:26:00","2020-01-26 10:54:00"
EV-200127,event 20200-01-27,"2020-01-27 08:00:00","2020-01-27 10:40:00"
EV-200129,event 20200-01-29,"2020-01-29 08:09:00","2020-01-29 08:40:00"
EV-200130,event 20200-01-30,"2020-01-30 08:21:00","2020-01-30 08:54:00"
EV-200131,event 20200-01-31,"2020-01-31 08:00:00","2020-01-31 11:30:00"
EV-200201,event 20200-02-01,"2020-02-01 08:00:00","2020-02-01 09:24:00"
EV-200211,event 20200-02-11,"2020-02-11 08:30:00","2020-02-11 10:00:00"
EV-200212,event 20200-02-12,"2020-02-12 08:00:00","2020-02-12 08:42:00"
EV-200213,event 20200-02-13,"2020-02-13 08:16:00","2020-02-13 11:45:00"
EV-200214,event 20200-02-14,"2020-02-14 08:00:00","2020-02-14 10:50:00"
EV-200215,event 20200-02-15,"2020-02-15 08:00:00","2020-02-15 12:30:00"
EV-200216,event 20200-02-16,"2020-02-16 08:26:00","2020-02-16 10:54:00"
EV-200217,event 20200-02-17,"2020-02-17 08:00:00","2020-02-17 10:40:00"
EV-200219,event 20200-02-19,"2020-02-19 08:09:00","2020-02-19 08:40:00"
EV-200220,event 20200-02-20,"2020-02-20 08:21:00","2020-02-20 08:54:00"
EV-200221,event 20200-02-21,"2020-02-21 08:00:00","2020-02-21 11:30:00"
EV-200222,event 20200-02-22,"2020-02-22 08:14:00","2020-02-22 10:30:00"
EV-200223,event 20200-02-23,"2020-02-23 08:38:00","2020-02-23 10:10:00"
EV-200224,event 20200-02-24,"2020-02-24 08:06:00","2020-02-24 08:18:00"
EV-200225,event 20200-02-25,"2020-02-25 08:24:00","2020-02-25 12:00:00"
EV-200226,event 20200-02-26,"2020-02-26 08:39:00","2020-02-26 09:42:00"
EV-200227,event 20200-02-27,"2020-02-27 08:00:00","2020-02-27 08:06:00"
EV-200228,event 20200-02-28,"2020-02-28 08:00:00","2020-02-28 09:09:00"
EV-200229,event 20200-02-29,"2020-02-29 08:00:00","2020-02-29 12:10:00"
EV-200301,event 20200-03-01,"2020-03-01 08:30:00","2020-03-01 10:00:00"
EV-200302,event 20200-03-02,"2020-03-02 08:00:00","2020-03-02 08:42:00"
EV-200303,event 20200-03-03,"2020-03-03 08:16:00","2020-03-03 11:45:00"
EV-200304,event 20200-03-04,"2020-03-04 08:00:00","2020-03-04 10:50:00"
EV-200305,event 20200-03-05,"2020-03-05 08:00:00","2020-03-05 12:30:00"
EV-200306,event 20200-03-06,"2020-03-06 08:26:00","2020-03-06 10:54:00"
EV-200307,event 20200-03-07,"2020-03-07 08:00:00","2020-03-07 10:40:00"
EV-200309,event 20200-03-09,"2020-03-09 08:09:00","2020-03-09 08:40:00"
EV-200310,event 20200-03-10,"2020-03-10 08:21:00","2020-03-10 08:54:00"
EV-200311,event 20200-03-11,"2020-03-11 08:00:00","2020-03-11 11:30:00"
EV-200312,event 20200-03-12,"2020-03-12 08:14:00","2020-03-12 10:30:00"
EV-200313,event 20200-03-13,"2020-03-13 08:38:00","2020-03-13 10:10:00"
EV-200314,event 20200-03-14,"2020-03-14 08:06:00","2020-03-14 08:18:00"
EV-200315,event 20200-03-15,"2020-03-15 08:24:00","2020-03-15 12:00:00"
EV-200316,event 20200-03-16,"2020-03-16 08:39:00","2020-03-16 09:42:00"
EV-200317,event 20200-03-17,"2020-03-17 08:00:00","2020-03-17 08:06:00"
EV-200318,event 20200-03-18,"2020-03-18 08:00:00","2020-03-18 09:09:00"
EV-200319,event 20200-03-19,"2020-03-19 08:00:00","2020-03-19 12:10:00"
EV-200320,event 20200-03-20,"2020-03-20 08:06:00","2020-03-20 11:50:00"
EV-200321,event 20200-03-21,"2020-03-21 08:00:00","2020-03-21 09:24:00"
EV-200331,event 20200-03-31,"2020-03-31 08:30:00","2020-03-31 10:00:00"
EV-200401,event 20200-04-01,"2020-04-01 08:00:00","2020-04-01 11:30:00"
EV-200402,event 20200-04-02,"2020-04-02 08:14:00","2020-04-02 10:30:00"
EV-200403,event 20200-04-03,"2020-04-03 08:38:00","2020-04-03 10:10:00"
EV-200404,event 20200-04-04,"2020-04-04 08:06:00","2020-04-04 08:18:00"
EV-200405,event 20200-04-05,"2020-04-05 08:24:00","2020-04-05 12:00:00"
EV-200406,event 20200-04-06,"2020-04-06 08:39:00","2020-04-06 09:42:00"
EV-200407,event 20200-04-07,"2020-04-07 08:00:00","2020-04-07 08:06:00"
EV-200408,event 20200-04-08,"2020-04-08 08:00:00","2020-04-08 09:09:00"
EV-200409,event 20200-04-09,"2020-04-09 08:00:00","2020-04-09 12:10:00"
EV-200410,event 20200-04-10,"2020-04-10 08:06:00","2020-04-10 11:50:00"
EV-200411,event 20200-04-11,"2020-04-11 08:00:00","2020-04-11 09:24:00"
EV-200421,event 20200-04-21,"2020-04-21 08:30:00","2020-04-21 10:00:00"
EV-200422,event 20200-04-22,"2020-04-22 08:00:00","2020-04-22 08:42:00"
EV-200423,event 20200-04-23,"2020-04-23 08:16:00","2020-04-23 11:45:00"
EV-200424,event 20200-04-24,"2020-04-24 08:00:00","2020-04-24 10:50:00"
EV-200425,event 20200-04-25,"2020-04-25 08:00:00","2020-04-25 12:30:00"
EV-200426,event 20200-04-26,"2020-04-26 08:26:00","2020-04-26 10:54:00"
EV-200427,event 20200-04-27,"2020-04-27 08:00:00","2020-04-27 10:40:00"
EV-200429,event 20200-04-29,"2020-04-29 08:09:00","2020-04-29 08:40:00"
EV-200430,event 20200-04-30,"2020-04-30 08:21:00","2020-04-30 08:54:00"
EV-200501,event 20200-05-01,"2020-05-01 08:00:00","2020-05-01 12:10:00"
EV-200503,event 20200-05-03,"2020-05-03 08:15:00","2020-05-03 10:25:00"
EV-200504,event 20200-05-04,"2020-05-04 08:28:00","2020-05-04 08:52:00"
EV-200505,event 20200-05-05,"2020-05-05 08:00:00","2020-05-05 11:00:00"
EV-200506,event 20200-05-06,"2020-05-06 08:12:00","2020-05-06 09:36:00"
EV-200507,event 20200-05-07,"2020-05-07 08:00:00","2020-05-07 11:45:00"
EV-200508,event 20200-05-08,"2020-05-08 08:04:00","2020-05-08 10:20:00"
EV-200509,event 20200-05-09,"2020-05-09 08:09:00","2020-05-09 08:27:00"
EV-200510,event 20200-05-10,"2020-05-10 09:16:00","2020-05-10 09:56:00"
EV-200511,event 20200-05-11,"2020-05-11 08:30:00","2020-05-11 10:00:00"
EV-200512,event 20200-05-12,"2020-05-12 08:00:00","2020-05-12 08:42:00"
EV-200513,event 20200-05-13,"2020-05-13 08:16:00","2020-05-13 11:45:00"
EV-200514,event 20200-05-14,"2020-05-14 08:00:00","2020-05-14 10:50:00"
EV-200515,event 20200-05-15,"2020-05-15 08:00:00","2020-05-15 12:30:00"
EV-200516,event 20200-05-16,"2020-05-16 08:26:00","2020-05-16 10:54:00"
EV-200517,event 20200-05-17,"2020-05-17 08:00:00","2020-05-17 10:40:00"
EV-200519,event 20200-05-19,"2020-05-19 08:09:00","2020-05-19 08:40:00"
EV-200520,event 20200-05-20,"2020-05-20 08:21:00","2020-05-20 08:54:00"
EV-200521,event 20200-05-21,"2020-05-21 08:00:00","2020-05-21 11:30:00"
EV-200522,event 20200-05-22,"2020-05-22 08:00:00","2020-05-22 12:16:00"
EV-200523,event 20200-05-23,"2020-05-23 08:00:00","2020-05-23 12:55:00"
EV-200524,event 20200-05-24,"2020-05-24 08:08:00","2020-05-24 12:00:00"
EV-200525,event 20200-05-25,"2020-05-25 08:00:00","2020-05-25 13:45:00"
EV-200526,event 20200-05-26,"2020-05-26 08:20:00","2020-05-26 10:44:00"
EV-200527,event 20200-05-27,"2020-05-27 08:00:00","2020-05-27 11:20:00"
EV-200528,event 20200-05-28,"2020-05-28 08:18:00","2020-05-28 10:08:00"
EV-200529,event 20200-05-29,"2020-05-29 08:00:00","2020-05-29 12:50:00"
EV-200530,event 20200-05-30,"2020-05-30 08:06:00","2020-05-30 11:52:00"
EV-200531,event 20200-05-31,"2020-05-31 08:00:00","2020-05-31 13:35:00"
EV-200601,event 20200-06-01,"2020-06-01 08:30:00","2020-06-01 10:00:00"
EV-200602,event 20200-06-02,"2020-06-02 08:00:00","2020-06-02 08:42:00"
EV-200603,event 20200-06-03,"2020-06-03 08:16:00","2020-06-03 11:45:00"
EV-200604,event 20200-06-04,"2020-06-04 08:00:00","2020-06-04 10:50:00"
EV-200605,event 20200-06-05,"2020-06-05 08:00:00","2020-06-05 12:30:00"
EV-200606,event 20200-06-06,"2020-06-06 08:26:00","2020-06-06 10:54:00"
EV-200607,event 20200-06-07,"2020-06-07 08:00:00","2020-06-07 10:40:00"
EV-200609,event 20200-06-09,"2020-06-09 08:09:00","2020-06-09 08:40:00"
EV-200610,event 20200-06-10,"2020-06-10 08:21:00","2020-06-10 08:54:00"
EV-200611,event 20200-06-11,"2020-06-11 08:00:00","2020-06-11 11:25:00"
EV-200612,event 20200-06-12,"2020-06-12 08:00:00","2020-06-12 12:16:00"
EV-200613,event 20200-06-13,"2020-06-13 08:00:00","2020-06-13 12:55:00"
EV-200614,event 20200-06-14,"2020-06-14 08:08:00","2020-06-14 12:00:00"
EV-200615,event 20200-06-15,"2020-06-15 08:00:00","2020-06-15 13:45:00"
EV-200616,event 20200-06-16,"2020-06-16 08:20:00","2020-06-16 10:44:00"
EV-200617,event 20200-06-17,"2020-06-17 08:00:00","2020-06-17 11:20:00"
EV-200618,event 20200-06-18,"2020-06-18 08:18:00","2020-06-18 10:08:00"
EV-200619,event 20200-06-19,"2020-06-19 08:00:00","2020-06-19 12:50:00"
EV-200620,event 20200-06-20,"2020-06-20 08:06:00","2020-06-20 11:52:00"
EV-200621,event 20200-06-21,"2020-06-21 08:00:00","2020-06-21 13:35:00"
EV-200623,event 20200-06-23,"2020-06-23 08:00:00","2020-06-23 10:55:00"
EV-200624,event 20200-06-24,"2020-06-24 08:44:00","2020-06-24 09:08:00"
EV-200625,event 20200-06-25,"2020-06-25 08:00:00","2020-06-25 11:00:00"
EV-200626,event 20200-06-26,"2020-06-26 08:14:00","2020-06-26 09:40:00"
EV-200627,event 20200-06-27,"2020-06-27 08:00:00","2020-06-27 11:45:00"
EV-200628,event 20200-06-28,"2020-06-28 08:04:00","2020-06-28 10:20:00"
EV-200629,event 20200-06-29,"2020-06-29 08:09:00","2020-06-29 08:27:00"
EV-200630,event 20200-06-30,"2020-06-30 09:16:00","2020-06-30 09:56:00"
EV-200701,event 20200-07-01,"2020-07-01 08:00:00","2020-07-01 11:25:00"
EV-200702,event 20200-07-02,"2020-07-02 08:00:00","2020-07-02 12:16:00"
EV-200703,event 20200-07-03,"2020-07-03 08:00:00","2020-07-03 12:55:00"
EV-200704,event 20200-07-04,"2020-07-04 08:08:00","2020-07-04 12:00:00"
EV-200705,event 20200-07-05,"2020-07-05 08:00:00","2020-07-05 13:45:00"
EV-200706,event 20200-07-06,"2020-07-06 08:20:00","2020-07-06 10:44:00"
EV-200707,event 20200-07-07,"2020-07-07 08:00:00","2020-07-07 11:20:00"
EV-200708,event 20200-07-08,"2020-07-08 08:18:00","2020-07-08 10:08:00"
EV-200709,event 20200-07-09,"2020-07-09 08:00:00","2020-07-09 12:50:00"
EV-200710,event 20200-07-10,"2020-07-10 08:06:00","2020-07-10 11:52:00"
EV-200711,event 20200-07-11,"2020-07-11 08:00:00","2020-07-11 13:35:00"
EV-200713,event 20200-07-13,"2020-07-13 08:00:00","2020-07-13 10:55:00"
EV-200714,event 20200-07-14,"2020-07-14 08:44:00","2020-07-14 09:08:00"
EV-200715,event 20200-07-15,"2020-07-15 08:00:00","2020-07-15 11:00:00"
EV-200716,event 20200-07-16,"2020-07-16 08:14:00","2020-07-16 09:40:00"
EV-200717,event 20200-07-17,"2020-07-17 08:00:00","2020-07-17 11:45:00"
