"event_id","entry_no","shop_id","mbr_id","entry_dtm","entry_rslt_cd","entry_rslt_dtm"
EV-190418,15,S050,M0134,"2019-04-18 09:00:00",SUCC,"2019-04-18 09:30:00"
EV-190419,1,S050,M0758,"2019-04-19 08:00:00",SUCC,"2019-04-19 08:30:00"
EV-190419,2,S050,M0533,"2019-04-19 08:02:00",SUCC,"2019-04-19 08:30:00"
EV-190419,3,S050,M0173,"2019-04-19 08:04:00",SUCC,"2019-04-19 08:30:00"
EV-190419,4,S050,M0581,"2019-04-19 08:06:00",SUCC,"2019-04-19 08:30:00"
EV-190419,5,S050,M0763,"2019-04-19 08:08:00",SUCC,"2019-04-19 08:30:00"
EV-190419,6,S050,M0449,"2019-04-19 08:10:00",SUCC,"2019-04-19 08:30:00"
EV-190419,7,S050,M0092,"2019-04-19 09:42:00",SUCC,"2019-04-19 09:30:00"
EV-190419,8,S050,M0093,"2019-04-19 09:45:00",SUCC,"2019-04-19 09:30:00"
EV-190419,9,S050,M0103,"2019-04-19 09:48:00",SUCC,"2019-04-19 09:30:00"
EV-190419,10,S050,M0886,"2019-04-19 09:51:00",SUCC,"2019-04-19 09:30:00"
EV-190419,11,S050,M0271,"2019-04-19 09:54:00",SUCC,"2019-04-19 09:30:00"
EV-190419,12,S050,M0183,"2019-04-19 10:02:00",SUCC,"2019-04-19 10:30:00"
EV-190419,13,S050,M0283,"2019-04-19 10:10:00",SUCC,"2019-04-19 10:30:00"
EV-190419,14,S050,M0159,"2019-04-19 10:18:00",SUCC,"2019-04-19 10:30:00"
EV-190419,15,S050,M0297,"2019-04-19 10:22:00",SUCC,"2019-04-19 10:30:00"
EV-190419,16,S050,M0117,"2019-04-19 10:26:00",SUCC,"2019-04-19 10:30:00"
EV-190419,17,S050,M0257,"2019-04-19 10:34:00",SUCC,"2019-04-19 10:30:00"
EV-190419,18,S050,M0213,"2019-04-19 10:38:00",SUCC,"2019-04-19 10:30:00"
EV-190420,1,S050,M0274,"2019-04-20 08:06:00",SUCC,"2019-04-20 08:30:00"
EV-190420,2,S050,M0275,"2019-04-20 08:08:00",SUCC,"2019-04-20 08:30:00"
EV-190420,3,S050,M0185,"2019-04-20 08:10:00",SUCC,"2019-04-20 08:30:00"
EV-190420,4,S050,M0998,"2019-04-20 08:12:00",SUCC,"2019-04-20 08:30:00"
EV-190420,5,S050,M0956,"2019-04-20 08:14:00",SUCC,"2019-04-20 08:30:00"
EV-190420,6,S050,M0285,"2019-04-20 08:16:00",SUCC,"2019-04-20 08:30:00"
EV-190420,7,S050,M0106,"2019-04-20 08:18:00",SUCC,"2019-04-20 08:30:00"
EV-190420,8,S050,M0107,"2019-04-20 08:20:00",SUCC,"2019-04-20 08:30:00"
EV-190420,9,S050,M0201,"2019-04-20 08:22:00",SUCC,"2019-04-20 08:30:00"
EV-190420,10,S050,M0162,"2019-04-20 08:24:00",SUCC,"2019-04-20 08:30:00"
EV-190420,11,S050,M0163,"2019-04-20 08:26:00",SUCC,"2019-04-20 08:30:00"
EV-190420,12,S050,M0884,"2019-04-20 08:28:00",SUCC,"2019-04-20 08:30:00"
EV-190420,13,S050,M0299,"2019-04-20 08:30:00",SUCC,"2019-04-20 08:30:00"
EV-190420,14,S050,M0120,"2019-04-20 08:32:00",SUCC,"2019-04-20 08:30:00"
EV-190420,15,S050,M0121,"2019-04-20 08:34:00",SUCC,"2019-04-20 08:30:00"
EV-190420,16,S050,M0889,"2019-04-20 08:36:00",SUCC,"2019-04-20 08:30:00"
EV-190420,17,S050,M0260,"2019-04-20 08:38:00",SUCC,"2019-04-20 08:30:00"
EV-190420,18,S050,M0215,"2019-04-20 08:40:00",SUCC,"2019-04-20 08:30:00"
EV-190420,19,S050,M0261,"2019-04-20 08:42:00",SUCC,"2019-04-20 08:30:00"
EV-190420,20,S050,M0984,"2019-04-20 08:44:00",SUCC,"2019-04-20 08:30:00"
EV-190420,21,S050,M0176,"2019-04-20 08:46:00",SUCC,"2019-04-20 08:30:00"
EV-190420,22,S050,M0177,"2019-04-20 08:48:00",SUCC,"2019-04-20 08:30:00"
EV-190420,23,S050,M0898,"2019-04-20 08:50:00",SUCC,"2019-04-20 08:30:00"
EV-190421,1,S050,M0537,"2019-04-21 08:00:00",SUCC,"2019-04-21 08:30:00"
EV-190421,2,S050,M0493,"2019-04-21 08:02:00",SUCC,"2019-04-21 08:30:00"
EV-190421,3,S050,M0959,"2019-04-21 08:28:00",SUCC,"2019-04-21 08:30:00"
EV-190421,4,S050,M0982,"2019-04-21 08:30:00",SUCC,"2019-04-21 08:30:00"
EV-190421,5,S050,M0987,"2019-04-21 08:32:00",SUCC,"2019-04-21 08:30:00"
EV-190421,6,S050,M0996,"2019-04-21 08:51:00",SUCC,"2019-04-21 08:30:00"
EV-190421,7,S050,M0187,"2019-04-21 08:54:00",SUCC,"2019-04-21 08:30:00"
EV-190421,8,S050,M0234,"2019-04-21 08:57:00",SUCC,"2019-04-21 08:30:00"
EV-190421,9,S050,M0288,"2019-04-21 09:03:00",SUCC,"2019-04-21 09:30:00"
EV-190421,10,S050,M0289,"2019-04-21 09:06:00",SUCC,"2019-04-21 09:30:00"
EV-190421,11,S050,M0204,"2019-04-21 09:09:00",SUCC,"2019-04-21 09:30:00"
EV-190421,12,S050,M0205,"2019-04-21 09:12:00",SUCC,"2019-04-21 09:30:00"
EV-190421,13,S050,M0218,"2019-04-21 09:18:00",SUCC,"2019-04-21 09:30:00"
EV-190421,14,S050,M0219,"2019-04-21 09:21:00",SUCC,"2019-04-21 09:30:00"
EV-190501,1,S050,M0133,"2019-05-01 08:00:00",SUCC,"2019-05-01 08:30:00"
EV-190501,2,S050,M0088,"2019-05-01 08:02:00",SUCC,"2019-05-01 08:30:00"
EV-190501,3,S050,M0058,"2019-05-01 11:10:00",SUCC,"2019-05-01 11:30:00"
EV-190501,4,S050,M0880,"2019-05-01 11:15:00",SUCC,"2019-05-01 11:30:00"
EV-190501,5,S050,M0881,"2019-05-01 11:20:00",SUCC,"2019-05-01 11:30:00"
EV-190501,6,S050,M0894,"2019-05-01 11:25:00",SUCC,"2019-05-01 11:30:00"
EV-190501,7,S050,M0895,"2019-05-01 11:30:00",SUCC,"2019-05-01 11:30:00"
EV-190502,1,S050,M0091,"2019-05-02 08:14:00",SUCC,"2019-05-02 08:30:00"
EV-190502,2,S050,M0102,"2019-05-02 08:16:00",SUCC,"2019-05-02 08:30:00"
EV-190502,3,S050,M0964,"2019-05-02 08:18:00",SUCC,"2019-05-02 08:30:00"
EV-190502,4,S050,M0965,"2019-05-02 08:20:00",SUCC,"2019-05-02 08:30:00"
EV-190502,5,S050,M0270,"2019-05-02 08:21:00",SUCC,"2019-05-02 08:30:00"
EV-190502,6,S050,M0892,"2019-05-02 08:22:00",SUCC,"2019-05-02 08:30:00"
EV-190502,7,S050,M0225,"2019-05-02 08:24:00",SUCC,"2019-05-02 08:30:00"
EV-190502,8,S050,M0893,"2019-05-02 08:24:00",SUCC,"2019-05-02 08:30:00"
EV-190502,9,S050,M0086,"2019-05-02 08:26:00",SUCC,"2019-05-02 08:30:00"
EV-190502,10,S050,M0992,"2019-05-02 08:30:00",SUCC,"2019-05-02 08:30:00"
EV-190502,11,S050,M0993,"2019-05-02 08:33:00",SUCC,"2019-05-02 08:30:00"
EV-190502,12,S050,M0158,"2019-05-02 08:45:00",SUCC,"2019-05-02 08:30:00"
EV-190502,13,S050,M0116,"2019-05-02 08:48:00",SUCC,"2019-05-02 08:30:00"
EV-190502,14,S050,M0256,"2019-05-02 08:51:00",SUCC,"2019-05-02 08:30:00"
EV-190502,15,S050,M0172,"2019-05-02 08:57:00",SUCC,"2019-05-02 08:30:00"
EV-190503,1,S050,M0990,"2019-05-03 08:42:00",SUCC,"2019-05-03 08:30:00"
EV-190503,2,S050,M0991,"2019-05-03 08:46:00",SUCC,"2019-05-03 08:30:00"
EV-190503,3,S050,M0227,"2019-05-03 08:50:00",SUCC,"2019-05-03 08:30:00"
EV-190503,4,S050,M0273,"2019-05-03 08:54:00",SUCC,"2019-05-03 08:30:00"
EV-190503,5,S050,M0100,"2019-05-03 08:58:00",SUCC,"2019-05-03 08:30:00"
EV-190503,6,S050,M0284,"2019-05-03 09:02:00",SUCC,"2019-05-03 09:30:00"
EV-190503,7,S050,M0105,"2019-05-03 09:06:00",SUCC,"2019-05-03 09:30:00"
EV-190503,8,S050,M0962,"2019-05-03 09:10:00",SUCC,"2019-05-03 09:30:00"
EV-190503,9,S050,M0062,"2019-05-03 09:14:00",SUCC,"2019-05-03 09:30:00"
EV-190503,10,S050,M0963,"2019-05-03 09:18:00",SUCC,"2019-05-03 09:30:00"
EV-190503,11,S050,M0198,"2019-05-03 09:22:00",SUCC,"2019-05-03 09:30:00"
EV-190503,12,S050,M0200,"2019-05-03 09:26:00",SUCC,"2019-05-03 09:30:00"
EV-190503,13,S050,M0156,"2019-05-03 09:30:00",SUCC,"2019-05-03 09:30:00"
EV-190503,14,S050,M0114,"2019-05-03 09:34:00",SUCC,"2019-05-03 09:30:00"
EV-190503,15,S050,M0076,"2019-05-03 09:36:00",SUCC,"2019-05-03 09:30:00"
EV-190503,16,S050,M0161,"2019-05-03 09:38:00",SUCC,"2019-05-03 09:30:00"
EV-190503,17,S050,M0298,"2019-05-03 09:42:00",SUCC,"2019-05-03 09:30:00"
EV-190503,18,S050,M0119,"2019-05-03 09:46:00",SUCC,"2019-05-03 09:30:00"
EV-190503,19,S050,M0259,"2019-05-03 09:54:00",SUCC,"2019-05-03 09:30:00"
EV-190503,20,S050,M0214,"2019-05-03 09:58:00",SUCC,"2019-05-03 09:30:00"
EV-190503,21,S050,M0170,"2019-05-03 10:02:00",SUCC,"2019-05-03 10:30:00"
EV-190503,22,S050,M0175,"2019-05-03 10:06:00",SUCC,"2019-05-03 10:30:00"
EV-190503,23,S050,M0132,"2019-05-03 10:10:00",SUCC,"2019-05-03 10:30:00"
EV-190503,24,S050,M0268,"2019-05-03 10:14:00",SUCC,"2019-05-03 10:30:00"
EV-190505,1,S050,M0057,"2019-05-05 08:24:00",SUCC,"2019-05-05 08:30:00"
EV-190505,2,S050,M0104,"2019-05-05 08:26:00",SUCC,"2019-05-05 08:30:00"
EV-190505,3,S050,M0071,"2019-05-05 08:28:00",SUCC,"2019-05-05 08:30:00"
EV-190505,4,S050,M0272,"2019-05-05 08:30:00",SUCC,"2019-05-05 08:30:00"
EV-190505,5,S050,M0882,"2019-05-05 08:30:00",SUCC,"2019-05-05 08:30:00"
EV-190505,6,S050,M0976,"2019-05-05 08:32:00",SUCC,"2019-05-05 08:30:00"
EV-190505,7,S050,M0184,"2019-05-05 08:33:00",SUCC,"2019-05-05 08:30:00"
EV-190505,8,S050,M0977,"2019-05-05 08:34:00",SUCC,"2019-05-05 08:30:00"
EV-190505,9,S050,M0232,"2019-05-05 08:36:00",SUCC,"2019-05-05 08:30:00"
EV-190505,10,S050,M0896,"2019-05-05 08:36:00",SUCC,"2019-05-05 08:30:00"
EV-190505,11,S050,M0233,"2019-05-05 08:39:00",SUCC,"2019-05-05 08:30:00"
EV-190505,12,S050,M0189,"2019-05-05 08:42:00",SUCC,"2019-05-05 08:30:00"
EV-190505,13,S050,M0160,"2019-05-05 08:51:00",SUCC,"2019-05-05 08:30:00"
EV-190505,14,S050,M0118,"2019-05-05 09:00:00",SUCC,"2019-05-05 09:30:00"
EV-190505,15,S050,M0258,"2019-05-05 09:09:00",SUCC,"2019-05-05 09:30:00"
EV-190505,16,S050,M0127,"2019-05-05 09:12:00",SUCC,"2019-05-05 09:30:00"
EV-190505,17,S050,M0174,"2019-05-05 09:15:00",SUCC,"2019-05-05 09:30:00"
EV-190506,1,S050,M0099,"2019-05-06 08:39:00",SUCC,"2019-05-06 08:30:00"
EV-190506,2,S050,M0059,"2019-05-06 08:42:00",SUCC,"2019-05-06 08:30:00"
EV-190506,3,S050,M0994,"2019-05-06 08:42:00",SUCC,"2019-05-06 08:30:00"
EV-190506,4,S050,M0966,"2019-05-06 08:45:00",SUCC,"2019-05-06 08:30:00"
EV-190506,5,S050,M0073,"2019-05-06 08:48:00",SUCC,"2019-05-06 08:30:00"
EV-190506,6,S050,M0085,"2019-05-06 08:51:00",SUCC,"2019-05-06 08:30:00"
EV-190506,7,S050,M0286,"2019-05-06 08:54:00",SUCC,"2019-05-06 08:30:00"
EV-190506,8,S050,M0202,"2019-05-06 09:02:00",SUCC,"2019-05-06 09:30:00"
EV-190506,9,S050,M0216,"2019-05-06 09:10:00",SUCC,"2019-05-06 09:30:00"
EV-190506,10,S050,M0129,"2019-05-06 09:14:00",SUCC,"2019-05-06 09:30:00"
EV-190507,1,S050,M0075,"2019-05-07 08:00:00",SUCC,"2019-05-07 08:30:00"
EV-190507,2,S050,M0169,"2019-05-07 08:02:00",SUCC,"2019-05-07 08:30:00"
EV-190507,3,S050,M0131,"2019-05-07 08:04:00",SUCC,"2019-05-07 08:30:00"
EV-190507,4,S050,M0267,"2019-05-07 08:06:00",SUCC,"2019-05-07 08:30:00"
EV-190507,5,S050,M0087,"2019-05-07 08:08:00",SUCC,"2019-05-07 08:30:00"
EV-190508,1,S050,M0101,"2019-05-08 08:18:00",SUCC,"2019-05-08 08:30:00"
EV-190508,2,S050,M0064,"2019-05-08 08:20:00",SUCC,"2019-05-08 08:30:00"
EV-190508,3,S050,M0065,"2019-05-08 08:22:00",SUCC,"2019-05-08 08:30:00"
EV-190508,4,S050,M0078,"2019-05-08 08:24:00",SUCC,"2019-05-08 08:30:00"
EV-190508,5,S050,M0281,"2019-05-08 08:24:00",SUCC,"2019-05-08 08:30:00"
EV-190508,6,S050,M0079,"2019-05-08 08:26:00",SUCC,"2019-05-08 08:30:00"
EV-190508,7,S050,M0980,"2019-05-08 08:28:00",SUCC,"2019-05-08 08:30:00"
EV-190508,8,S050,M0089,"2019-05-08 08:30:00",SUCC,"2019-05-08 08:30:00"
EV-190508,9,S050,M0199,"2019-05-08 08:30:00",SUCC,"2019-05-08 08:30:00"
EV-190508,10,S050,M0157,"2019-05-08 08:39:00",SUCC,"2019-05-08 08:30:00"
EV-190508,11,S050,M0295,"2019-05-08 08:42:00",SUCC,"2019-05-08 08:30:00"
EV-190508,12,S050,M0115,"2019-05-08 08:45:00",SUCC,"2019-05-08 08:30:00"
EV-190508,13,S050,M0211,"2019-05-08 08:48:00",SUCC,"2019-05-08 08:30:00"
EV-190508,14,S050,M0171,"2019-05-08 09:00:00",SUCC,"2019-05-08 09:30:00"
EV-190508,15,S050,M0269,"2019-05-08 09:03:00",SUCC,"2019-05-08 09:30:00"
EV-190508,16,S050,M0134,"2019-05-08 09:06:00",SUCC,"2019-05-08 09:30:00"
EV-190509,1,S050,M0758,"2019-05-09 08:00:00",SUCC,"2019-05-09 08:30:00"
EV-190509,2,S050,M0533,"2019-05-09 08:02:00",SUCC,"2019-05-09 08:30:00"
EV-190509,3,S050,M0173,"2019-05-09 08:04:00",SUCC,"2019-05-09 08:30:00"
EV-190509,4,S050,M0581,"2019-05-09 08:06:00",SUCC,"2019-05-09 08:30:00"
EV-190509,5,S050,M0763,"2019-05-09 08:08:00",SUCC,"2019-05-09 08:30:00"
EV-190509,6,S050,M0449,"2019-05-09 08:10:00",SUCC,"2019-05-09 08:30:00"
EV-190509,7,S050,M0092,"2019-05-09 09:42:00",SUCC,"2019-05-09 09:30:00"
EV-190509,8,S050,M0093,"2019-05-09 09:45:00",SUCC,"2019-05-09 09:30:00"
EV-190509,9,S050,M0103,"2019-05-09 09:48:00",SUCC,"2019-05-09 09:30:00"
EV-190509,10,S050,M0886,"2019-05-09 09:51:00",SUCC,"2019-05-09 09:30:00"
EV-190509,11,S050,M0271,"2019-05-09 09:54:00",SUCC,"2019-05-09 09:30:00"
EV-190509,12,S050,M0183,"2019-05-09 10:02:00",SUCC,"2019-05-09 10:30:00"
EV-190509,13,S050,M0283,"2019-05-09 10:10:00",SUCC,"2019-05-09 10:30:00"
EV-190509,14,S050,M0159,"2019-05-09 10:18:00",SUCC,"2019-05-09 10:30:00"
EV-190509,15,S050,M0297,"2019-05-09 10:22:00",SUCC,"2019-05-09 10:30:00"
EV-190509,16,S050,M0117,"2019-05-09 10:26:00",SUCC,"2019-05-09 10:30:00"
EV-190509,17,S050,M0257,"2019-05-09 10:34:00",SUCC,"2019-05-09 10:30:00"
EV-190509,18,S050,M0213,"2019-05-09 10:38:00",SUCC,"2019-05-09 10:30:00"
EV-190510,1,S050,M0274,"2019-05-10 08:06:00",SUCC,"2019-05-10 08:30:00"
EV-190510,2,S050,M0275,"2019-05-10 08:08:00",SUCC,"2019-05-10 08:30:00"
EV-190510,3,S050,M0185,"2019-05-10 08:10:00",SUCC,"2019-05-10 08:30:00"
EV-190510,4,S050,M0998,"2019-05-10 08:12:00",SUCC,"2019-05-10 08:30:00"
EV-190510,5,S050,M0956,"2019-05-10 08:14:00",SUCC,"2019-05-10 08:30:00"
EV-190510,6,S050,M0285,"2019-05-10 08:16:00",SUCC,"2019-05-10 08:30:00"
EV-190510,7,S050,M0106,"2019-05-10 08:18:00",SUCC,"2019-05-10 08:30:00"
EV-190510,8,S050,M0107,"2019-05-10 08:20:00",SUCC,"2019-05-10 08:30:00"
EV-190510,9,S050,M0201,"2019-05-10 08:22:00",SUCC,"2019-05-10 08:30:00"
EV-190510,10,S050,M0162,"2019-05-10 08:24:00",SUCC,"2019-05-10 08:30:00"
EV-190510,11,S050,M0163,"2019-05-10 08:26:00",SUCC,"2019-05-10 08:30:00"
EV-190510,12,S050,M0884,"2019-05-10 08:28:00",SUCC,"2019-05-10 08:30:00"
EV-190510,13,S050,M0299,"2019-05-10 08:30:00",SUCC,"2019-05-10 08:30:00"
EV-190510,14,S050,M0120,"2019-05-10 08:32:00",SUCC,"2019-05-10 08:30:00"
EV-190510,15,S050,M0121,"2019-05-10 08:34:00",SUCC,"2019-05-10 08:30:00"
EV-190510,16,S050,M0889,"2019-05-10 08:36:00",SUCC,"2019-05-10 08:30:00"
EV-190510,17,S050,M0260,"2019-05-10 08:38:00",SUCC,"2019-05-10 08:30:00"
EV-190510,18,S050,M0215,"2019-05-10 08:40:00",SUCC,"2019-05-10 08:30:00"
EV-190510,19,S050,M0261,"2019-05-10 08:42:00",SUCC,"2019-05-10 08:30:00"
EV-190510,20,S050,M0984,"2019-05-10 08:44:00",SUCC,"2019-05-10 08:30:00"
EV-190510,21,S050,M0176,"2019-05-10 08:46:00",SUCC,"2019-05-10 08:30:00"
EV-190510,22,S050,M0177,"2019-05-10 08:48:00",SUCC,"2019-05-10 08:30:00"
EV-190510,23,S050,M0898,"2019-05-10 08:50:00",SUCC,"2019-05-10 08:30:00"
EV-190511,1,S050,M0537,"2019-05-11 08:00:00",SUCC,"2019-05-11 08:30:00"
EV-190511,2,S050,M0493,"2019-05-11 08:02:00",SUCC,"2019-05-11 08:30:00"
EV-190511,3,S050,M0959,"2019-05-11 08:28:00",SUCC,"2019-05-11 08:30:00"
EV-190511,4,S050,M0982,"2019-05-11 08:30:00",SUCC,"2019-05-11 08:30:00"
EV-190511,5,S050,M0987,"2019-05-11 08:32:00",SUCC,"2019-05-11 08:30:00"
EV-190511,6,S050,M0996,"2019-05-11 08:51:00",SUCC,"2019-05-11 08:30:00"
EV-190511,7,S050,M0187,"2019-05-11 08:54:00",SUCC,"2019-05-11 08:30:00"
EV-190511,8,S050,M0234,"2019-05-11 08:57:00",SUCC,"2019-05-11 08:30:00"
EV-190511,9,S050,M0288,"2019-05-11 09:03:00",SUCC,"2019-05-11 09:30:00"
EV-190511,10,S050,M0289,"2019-05-11 09:06:00",SUCC,"2019-05-11 09:30:00"
EV-190511,11,S050,M0204,"2019-05-11 09:09:00",SUCC,"2019-05-11 09:30:00"
EV-190511,12,S050,M0205,"2019-05-11 09:12:00",SUCC,"2019-05-11 09:30:00"
EV-190511,13,S050,M0218,"2019-05-11 09:18:00",SUCC,"2019-05-11 09:30:00"
EV-190511,14,S050,M0219,"2019-05-11 09:21:00",SUCC,"2019-05-11 09:30:00"
EV-190521,1,S050,M0970,"2019-05-21 08:30:00",SUCC,"2019-05-21 08:30:00"
EV-190521,2,S050,M0888,"2019-05-21 08:33:00",SUCC,"2019-05-21 08:30:00"
EV-190521,3,S050,M0190,"2019-05-21 08:54:00",SUCC,"2019-05-21 08:30:00"
EV-190521,4,S050,M0191,"2019-05-21 08:58:00",SUCC,"2019-05-21 08:30:00"
EV-190522,1,S050,M0958,"2019-05-22 08:00:00",SUCC,"2019-05-22 08:30:00"
EV-190522,2,S050,M0968,"2019-05-22 08:02:00",SUCC,"2019-05-22 08:30:00"
EV-190522,3,S050,M0068,"2019-05-22 08:04:00",SUCC,"2019-05-22 08:30:00"
EV-190522,4,S050,M0069,"2019-05-22 08:06:00",SUCC,"2019-05-22 08:30:00"
EV-190522,5,S050,M0973,"2019-05-22 08:08:00",SUCC,"2019-05-22 08:30:00"
EV-190522,6,S050,M0082,"2019-05-22 08:10:00",SUCC,"2019-05-22 08:30:00"
EV-190522,7,S050,M0083,"2019-05-22 08:12:00",SUCC,"2019-05-22 08:30:00"
EV-190522,8,S050,M0986,"2019-05-22 08:14:00",SUCC,"2019-05-22 08:30:00"
EV-190523,1,S050,M0897,"2019-05-23 08:00:00",SUCC,"2019-05-23 08:30:00"
EV-190523,2,S050,M0096,"2019-05-23 08:20:00",SUCC,"2019-05-23 08:30:00"
EV-190523,3,S050,M0097,"2019-05-23 08:22:00",SUCC,"2019-05-23 08:30:00"
EV-190523,4,S050,M0066,"2019-05-23 08:24:00",SUCC,"2019-05-23 08:30:00"
EV-190523,5,S050,M0067,"2019-05-23 08:26:00",SUCC,"2019-05-23 08:30:00"
